Time (sec),AC Compressor Sw (on/off),AF Correction 1 (%),AF Correction 3 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),AVCS Exh Left (°),AVCS In Left (°),Accel Position (%),Baro Pressure (psi),Battery Volts (V),Boost (psi),Boost Extended (psi),CL Fuel Target (AFR),Calculated Load (g/rev),Calculated Load Ext (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),EGR Commanded (steps),Feedback Knock (°),Fine Knock Learn (°),Fuel Cut (cylinders),Fuel Pressure (psi),Fuel Pressure Target (psi),Gear Position (gear),Ign Comp IAT (°),Ignition Timing (°),Inj Duty Cycle (%),Inj PW (ms),Inj Timing H SOI NEW (°),Intake Temp (F),Intake Temp Manifold (F),MAF Corr Final (g/s),MAF Volts (V),Man Abs Press (psi),Oil Temp (F),RPM (RPM),Req Torque (Nm),TD Boost Error Ext (psi),TD Integral (%),TD Proportional (%),TGV Map Ratio (mult),Target Boost Final Rel Ext (psi),Throttle Pos (%),Vehicle Speed (mph),Wastegate Duty (%),"AP Info:[AP3-SUB-004 v1.7.6.0-28208][2021 USDM WRX MT CCF Gen2][Reflash: Stage1+BigSF 93 v400.ptm - Realtime: Stage1+BigSF 93 v400.ptm]"
1.366,on,0.78,0.00,12.50,-5.47,14.61,0,-1,0.0,14.65,13.92,-9.13,-9.16,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,383.6,437.9,0,0.0,6.50,0.99,1.533,265.0,150.8,147.2,4.07,1.02,5.52,201.9,772,0.00,3.01,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.455,on,0.78,0.00,12.50,-5.47,14.61,0,-1,0.0,14.65,13.76,-9.11,-9.12,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,412.8,437.9,0,0.0,6.50,0.99,1.549,265.0,150.8,147.2,4.08,1.02,5.54,201.9,770,0.00,2.99,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.493,on,0.78,0.00,12.50,-5.47,14.62,0,-1,0.0,14.65,13.84,-9.08,-9.09,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,404.5,437.9,0,0.0,7.00,0.99,1.549,265.0,150.8,147.2,4.10,1.02,5.57,201.9,770,0.00,2.96,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.571,on,0.78,0.00,12.50,-5.47,14.59,0,-1,0.0,14.65,13.92,-9.04,-9.07,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,384.5,437.9,0,0.0,6.50,1.00,1.562,265.0,150.8,147.2,4.12,1.00,5.61,201.9,770,0.00,2.92,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.636,on,0.78,0.00,12.50,-5.47,14.60,0,-1,0.0,14.65,13.76,-9.02,-9.05,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,405.0,437.9,0,0.0,7.00,1.00,1.562,265.0,150.8,147.2,4.14,0.98,5.63,201.9,771,0.00,2.90,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.693,on,0.78,0.00,12.50,-5.47,14.60,0,-1,0.0,14.65,13.76,-9.02,-9.02,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,7.00,1.01,1.562,265.0,150.8,147.2,4.15,0.96,5.63,201.9,775,0.00,2.89,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.772,on,0.78,0.00,12.50,-5.47,14.59,0,-1,0.0,14.65,13.92,-9.01,-9.02,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,392.0,437.9,0,0.0,6.50,1.02,1.574,265.0,150.8,147.2,4.15,0.98,5.64,201.9,776,0.00,2.87,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.853,on,0.78,0.00,12.50,-5.47,14.60,0,-1,0.0,14.65,13.84,-9.01,-9.02,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.50,1.03,1.574,265.0,150.8,147.2,4.15,0.98,5.64,201.9,782,0.00,2.89,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.902,on,0.78,0.00,12.50,-5.47,14.58,0,-1,0.0,14.65,13.92,-8.99,-9.03,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,390.1,437.9,0,0.0,6.50,1.02,1.562,265.0,150.8,147.2,4.14,0.94,5.66,201.9,781,0.00,2.87,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
1.984,on,0.78,0.00,12.50,-5.47,14.58,0,-1,0.0,14.65,13.92,-9.00,-9.03,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,385.6,437.9,0,0.0,6.50,1.02,1.562,265.0,150.8,147.2,4.13,0.94,5.65,201.9,784,0.00,2.86,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.075,on,0.78,0.00,12.50,-5.47,14.59,0,-1,0.0,14.65,14.00,-9.00,-9.02,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,396.4,437.9,0,0.0,6.00,1.01,1.549,265.0,150.8,147.2,4.11,1.02,5.64,201.9,786,0.00,2.86,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.123,on,0.78,0.00,12.50,-5.47,14.61,0,-1,0.0,14.65,13.84,-9.01,-9.03,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,395.8,437.9,0,0.0,6.00,1.02,1.549,265.0,150.8,147.2,4.10,0.98,5.64,201.9,789,0.00,2.88,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.203,on,0.78,0.00,12.50,-5.47,14.60,0,-1,0.0,14.65,13.84,-9.05,-9.06,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,391.8,437.9,0,0.0,6.00,0.99,1.501,265.0,152.6,147.2,4.07,0.94,5.60,201.9,793,0.00,2.89,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.279,on,0.78,0.00,12.50,-5.47,14.60,0,-1,0.0,14.65,14.00,-9.08,-9.09,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,407.6,437.9,0,0.0,6.00,0.99,1.501,265.0,150.8,147.2,4.04,0.94,5.57,202.1,793,0.00,2.93,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.350,on,0.78,0.00,12.50,-5.47,14.61,0,-1,0.0,14.65,13.92,-9.10,-9.11,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,403.7,437.9,0,0.0,6.00,0.98,1.485,265.0,150.8,147.2,4.01,0.92,5.55,202.1,795,0.00,2.97,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.412,on,0.78,0.00,12.50,-5.47,14.62,0,-1,0.0,14.65,13.84,-9.14,-9.14,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,399.2,437.9,0,0.0,6.00,0.98,1.485,265.0,150.8,147.2,3.98,0.94,5.51,202.1,795,0.00,3.01,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.491,on,0.78,0.00,12.50,-5.47,14.62,0,-1,0.0,14.65,14.08,-9.17,-9.18,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,390.5,437.9,0,0.0,6.00,0.96,1.462,265.0,150.8,147.2,3.95,0.96,5.48,202.1,792,0.00,3.03,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.557,on,0.78,0.00,12.50,-5.47,14.63,0,-1,0.0,14.65,13.92,-9.19,-9.21,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,401.9,437.9,0,0.0,6.00,0.96,1.462,265.0,150.8,147.2,3.92,0.94,5.45,202.1,787,0.00,3.06,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.612,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,13.76,-9.20,-9.20,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,403.4,437.9,0,0.0,5.50,0.96,1.462,265.0,150.8,147.2,3.92,0.96,5.45,202.1,787,0.00,3.05,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
2.691,on,0.78,0.00,12.50,-5.47,14.65,0,-1,0.0,14.65,14.08,-9.20,-9.20,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,388.7,437.9,0,0.0,6.00,0.95,1.462,265.0,150.8,147.2,3.90,1.02,5.45,202.1,776,0.00,3.05,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
2.752,on,0.78,0.00,12.50,-5.47,14.67,0,-1,0.0,14.65,13.92,-9.18,-9.19,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,407.3,437.9,0,0.0,6.50,0.94,1.462,265.0,150.8,147.2,3.91,1.00,5.47,202.1,771,0.00,3.06,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
2.832,on,0.78,0.00,12.50,-5.47,14.69,0,-1,0.0,14.65,14.08,-9.14,-9.17,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,390.8,437.9,0,0.0,7.00,0.95,1.485,265.0,150.8,147.2,3.92,1.00,5.51,202.1,764,0.00,3.02,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
2.892,on,0.78,0.00,12.50,-5.47,14.71,0,-1,0.0,14.65,13.92,-9.08,-9.10,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,379.1,437.9,0,0.0,7.50,0.94,1.485,265.0,152.6,147.2,3.95,1.04,5.57,201.9,758,0.00,2.95,0.000,0.00,0.000,-6.15,6.7,0,0.00,0
2.971,on,0.78,0.00,12.50,-5.47,14.71,0,-1,0.0,14.65,14.00,-9.04,-9.03,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,410.4,437.9,0,0.0,8.00,0.97,1.539,265.0,150.8,147.2,3.99,1.02,5.61,201.9,754,0.00,2.88,0.000,0.00,0.000,-6.15,6.7,0,0.00,0
3.032,on,0.78,0.00,12.50,-5.47,14.74,0,-1,0.0,14.65,14.08,-8.96,-8.97,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,407.3,437.9,0,0.0,8.00,0.97,1.539,265.0,152.6,147.2,4.04,1.06,5.69,201.9,755,0.00,2.84,0.000,0.00,0.000,-6.15,6.7,0,0.00,0
3.112,on,0.78,0.00,12.50,-5.47,14.74,0,-1,0.0,14.65,13.92,-8.89,-8.91,14.62,0.32,0.32,14.76,192.2,0.875,0,0.00,0.00,0,384.8,437.9,0,0.0,8.00,0.99,1.568,265.0,150.8,147.2,4.08,1.00,5.76,201.9,756,0.00,2.78,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
3.191,on,0.78,0.00,12.50,-5.47,14.75,0,-1,0.0,14.65,14.08,-8.85,-8.89,14.62,0.32,0.32,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,8.00,0.99,1.568,265.0,152.6,147.2,4.10,1.04,5.80,201.9,757,0.00,2.75,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
3.246,on,1.56,0.00,12.50,-5.47,14.74,0,-1,0.0,14.65,14.00,-8.83,-8.86,14.62,0.32,0.32,14.76,192.2,0.875,0,0.00,0.00,0,398.7,437.9,0,0.0,8.00,1.00,1.578,265.0,150.8,147.2,4.13,1.04,5.81,201.9,763,0.00,2.71,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
3.312,on,1.56,0.00,12.50,-5.47,14.80,0,-1,0.0,14.65,14.08,-8.83,-8.85,14.62,0.32,0.32,14.76,192.2,0.875,0,0.00,0.00,0,397.1,437.9,0,0.0,8.00,1.01,1.578,265.0,152.6,147.2,4.13,1.00,5.82,201.9,765,0.00,2.72,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
3.392,on,1.56,0.00,12.50,-5.47,14.86,0,-1,0.0,14.65,14.00,-8.84,-8.86,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,412.9,437.9,0,0.0,7.50,1.02,1.578,265.0,152.6,147.2,4.15,1.02,5.81,201.9,775,0.00,2.72,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
3.462,on,1.56,0.00,12.50,-5.47,14.83,0,-1,0.0,14.65,13.92,-8.87,-8.88,14.62,0.31,0.32,14.76,192.2,0.875,0,0.00,0.00,0,395.6,437.9,0,0.0,6.50,1.02,1.568,265.0,150.8,147.2,4.14,0.96,5.78,201.9,780,0.00,2.74,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.543,on,1.56,0.00,12.50,-5.47,14.87,0,-1,0.0,14.65,14.08,-8.92,-8.93,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.50,1.03,1.568,265.0,150.8,147.2,4.13,0.96,5.73,201.9,790,0.00,2.78,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.612,on,2.34,0.00,12.50,-5.47,14.89,0,-1,0.0,14.65,14.08,-8.98,-9.00,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,389.7,437.9,0,0.0,6.50,1.03,1.555,265.0,152.6,147.2,4.11,0.98,5.67,201.9,794,0.00,2.85,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.691,on,2.34,0.00,12.50,-5.47,14.90,0,-1,0.0,14.65,14.00,-9.06,-9.06,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,394.2,437.9,0,0.0,6.00,1.03,1.555,265.0,152.6,147.2,4.09,0.96,5.59,201.9,797,0.00,2.92,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.751,on,2.34,0.00,12.50,-5.47,14.92,0,-1,0.0,14.65,14.08,-9.12,-9.12,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,407.4,437.9,0,0.0,5.50,1.00,1.507,265.0,152.6,147.2,4.05,0.96,5.53,201.9,796,0.00,2.97,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.806,on,2.34,0.00,12.50,-5.47,14.94,0,-1,0.0,14.65,14.00,-9.15,-9.15,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,408.5,437.9,0,0.0,5.50,1.00,1.507,265.0,152.6,147.2,4.03,1.00,5.50,201.9,795,0.00,3.00,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.872,on,2.34,0.00,12.50,-5.47,14.92,0,-1,0.0,14.65,14.00,-9.19,-9.21,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,388.6,437.9,0,0.0,6.00,0.99,1.494,265.0,152.6,147.2,4.02,0.96,5.45,202.1,794,0.00,3.06,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
3.951,on,2.34,0.00,12.50,-5.47,14.94,0,-1,0.0,14.65,14.16,-9.23,-9.24,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,407.5,437.9,0,0.0,6.00,0.99,1.494,265.0,152.6,147.2,4.00,0.98,5.42,202.1,791,0.00,3.10,0.000,0.00,0.000,-6.15,5.9,0,0.00,0
4.012,on,2.34,0.00,12.50,-5.47,14.93,0,-1,0.0,14.65,14.00,-9.24,-9.24,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,390.8,437.9,0,0.0,6.00,1.00,1.514,265.0,152.6,147.2,3.99,0.98,5.41,202.1,789,0.00,3.08,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.091,on,2.34,0.00,12.50,-5.47,14.89,0,0,0.0,14.65,14.16,-9.23,-9.25,14.62,0.30,0.30,14.82,192.2,0.875,0,0.00,0.00,0,385.5,437.9,0,0.0,6.50,0.99,1.514,265.0,152.6,147.2,3.99,1.00,5.42,202.1,787,0.00,3.10,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.152,on,2.34,0.00,12.50,-5.47,14.89,0,-1,0.0,14.65,14.00,-9.22,-9.23,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,412.9,437.9,0,0.0,6.00,0.99,1.514,265.0,152.6,147.2,4.00,0.98,5.43,201.9,785,0.00,3.10,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.230,on,2.34,0.00,12.50,-5.47,14.88,0,-1,0.0,14.65,13.84,-9.21,-9.22,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,396.7,437.9,0,0.0,6.00,0.98,1.507,265.0,152.6,147.2,4.00,0.96,5.44,201.9,780,0.00,3.07,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.320,on,2.34,0.00,12.50,-5.47,14.86,0,-1,0.0,14.65,14.08,-9.18,-9.19,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,408.7,437.9,0,0.0,6.50,0.98,1.507,265.0,152.6,147.2,4.01,0.94,5.47,201.9,779,0.00,3.04,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.378,on,2.34,0.00,12.50,-5.47,14.80,0,-1,0.0,14.65,14.00,-9.16,-9.17,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,393.1,437.9,0,0.0,6.50,1.00,1.542,265.0,152.6,147.2,4.00,1.00,5.49,201.9,775,0.00,3.03,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.432,on,2.34,0.00,12.50,-5.47,14.78,0,0,0.0,14.65,14.08,-9.13,-9.15,14.62,0.30,0.31,14.82,192.2,0.875,0,0.00,0.00,0,379.4,437.9,0,0.0,6.50,1.00,1.542,265.0,150.8,147.2,4.01,1.00,5.52,201.9,776,0.00,3.00,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.513,on,2.34,0.00,12.50,-5.47,14.78,0,0,0.0,14.65,13.92,-9.12,-9.12,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,413.0,437.9,0,0.0,6.50,1.00,1.549,265.0,152.6,147.2,4.02,1.00,5.53,201.9,773,0.00,2.97,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.572,on,2.34,0.00,12.50,-5.47,14.75,0,0,0.0,14.65,14.00,-9.09,-9.10,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,404.5,437.9,0,0.0,6.50,1.00,1.549,265.0,152.6,147.2,4.04,1.02,5.56,201.9,773,0.00,2.97,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.652,on,2.34,0.00,12.50,-5.47,14.75,0,0,0.0,14.65,14.08,-9.06,-9.09,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,384.5,437.9,0,0.0,6.50,1.01,1.571,265.0,152.6,147.2,4.05,1.02,5.59,201.9,773,0.00,2.94,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
4.712,on,2.34,0.00,12.50,-5.47,14.74,0,0,0.0,14.65,14.00,-9.03,-9.07,14.62,0.31,0.31,14.76,192.2,0.875,0,0.00,0.00,0,407.3,437.9,0,0.0,6.50,1.01,1.571,265.0,152.6,147.2,4.07,1.00,5.62,201.9,775,0.00,2.91,0.000,0.00,0.000,-6.15,6.3,0,0.00,0
